#      Train        Test
       0.146         0.15 
       0.257         0.22 
       0.378         0.31 
       0.463         0.45 
       0.528          0.5 
       0.589         0.51 
       0.628         0.53 
       0.619         0.61 
       0.668          0.6 
       0.734          0.7 
       0.775         0.73 
       0.816         0.74 
       0.828         0.75 
       0.819         0.73 
       0.851         0.76 
       0.859         0.74 
       0.878         0.77 
       0.882          0.8 
         0.9         0.84 
        0.91         0.84 
       0.911         0.79 
       0.844         0.79 
       0.924         0.85 
       0.929         0.85 
       0.939         0.84 
       0.946         0.85 
       0.912         0.76 
       0.926         0.85 
       0.952         0.85 
       0.954         0.87 
       0.955         0.88 
       0.959         0.87 
       0.965         0.87 
       0.965         0.87 
       0.966         0.87 
       0.966         0.89 
       0.971         0.87 
       0.972         0.86 
       0.964         0.88 
       0.969         0.87 
       0.972         0.88 
       0.976          0.9 
       0.978         0.89 
       0.978         0.89 
       0.982         0.89 
       0.982         0.89 
       0.983         0.89 
       0.986          0.9 
       0.988         0.89 
       0.988         0.89 
       0.987          0.9 
       0.987          0.9 
       0.991         0.89 
       0.992          0.9 
       0.993         0.89 
       0.993         0.89 
       0.992          0.9 
       0.996         0.89 
       0.996         0.88 
       0.992         0.89 
       0.994         0.89 
       0.994         0.89 
       0.995         0.89 
       0.995         0.88 
       0.998         0.88 
       0.998          0.9 
       0.998         0.89 
       0.998         0.89 
       0.999          0.9 
       0.999         0.89 
       0.999         0.89 
       0.989          0.9 
       0.997         0.91 
       0.998         0.89 
       0.999         0.88 
       0.999         0.89 
       0.999          0.9 
       0.999         0.86 
       0.999         0.88 
       0.999         0.87 
       0.998         0.89 
           1         0.88 
           1         0.89 
           1         0.89 
           1         0.88 
           1         0.89 
           1         0.89 
           1         0.88 
           1         0.87 
           1         0.88 
           1          0.9 
           1         0.89 
           1         0.89 
           1         0.89 
       0.989          0.8 
       0.998         0.92 
       0.999         0.89 
       0.999         0.91 
       0.999          0.9 
       0.999         0.89 
