#      Train        Test
     12664.3      12029.9 
     2448.42      4112.94 
     1197.33      5.46853 
     407.534       4.9714 
     410.508       4.7245 
     396.003      4.44557 
     3.42004      4.17623 
     414.094       4.1074 
     3.12798      3.72702 
     1596.13       3.4459 
     2.43944      2.97315 
     410.019      8145.01 
     1585.35      39805.8 
     401.386      2.89992 
      1.8655      15093.1 
     817.671      2.89125 
     1.67474        2.664 
     1.55383      4033.41 
     1.46607      2.42733 
     1.38772      2.35402 
     406.196      3.01413 
     404.972      2.86615 
     1.43486      2.47357 
     1.29867      2.41565 
     1.23328      2.35345 
     1.18605      2.29795 
     798.784       3.0282 
     1.40071      2.29765 
      1.1427      2.27918 
     1.08923       2.2432 
     1.04947      2.18492 
     1.01187      2.14502 
    0.974188      2.11902 
     0.94476      2.09235 
    0.919962      2.05052 
    0.889767      2.05683 
     0.86313      2.02552 
     411.515      2.18877 
     0.95816      2.09093 
    0.862702      2.02902 
    0.819777      1.98942 
      0.7947      1.93425 
    0.766503       1.9334 
    0.746127      1.90842 
    0.727075      1.90492 
    0.709925      1.85007 
    0.689807      1.84352 
     0.67535      1.82065 
    0.658832      1.81395 
    0.646798      1.79783 
    0.630993      1.78148 
    0.622713       1.7515 
    0.600745      1.76968 
    0.590997      1.77055 
    0.582413      1.74935 
    0.567293      1.74977 
    0.559555      3649.52 
    0.545623      1.71853 
    0.538167      1.69515 
     407.094      1.78817 
     0.60094       1.8029 
    0.566385       1.7662 
     387.461      1.86368 
    0.579415      1.80648 
    0.539285      1.78087 
     411.225      1.79828 
    0.522223      1.75668 
    0.503278       1.7257 
    0.487708      1.73162 
    0.479732      1.73575 
    0.472512      1.69445 
     409.973      1.90813 
    0.564897      1.79318 
    0.508378      1.76705 
    0.480885      1.77013 
    0.466503      1.76812 
    0.451845      1.74307 
     0.44341      1.79885 
    0.434177      1.76945 
     384.179        1.909 
    0.497372      1.82262 
    0.440293      1.77488 
     0.42423      1.77428 
    0.410252       1.7547 
    0.401623      1.76015 
     0.39328      1.72603 
    0.387867      1.73537 
    0.380835      1.71985 
     0.37596      1.72442 
    0.371127      3771.12 
    0.367252      1.73703 
    0.363427      3806.38 
    0.355037      1.71533 
    0.349203      3898.09 
      408.45      2.20088 
    0.498992      1.78728 
     0.40069       1.7565 
     0.37769      1.70235 
    0.360948      1.72695 
     0.35117      1.71617 
